Label,Name,Text
6,USS SC-41, USS SC-41 until July 1920 known as USS Submarine Chaser No. 41 or USS S.C. 41 was an SC-1 class submarine chaser built for the United States Navy during World War I. SC-41 was a wooden-hulled 110-foot (34 m) submarine chaser built at the New York Navy Yard in Brooklyn New York. She was commissioned on 19 February 1918 as USS Submarine Chaser No. 41 abbreviated at the time as USS S.C. 41.When the U.S. Navy adopted its modern hull number system on 17 July 1920 Submarine Chaser No.
11,Polygonella, Polygonella is a genus of flowering plants in the knotweed and smartweed family Polygonaceae. Members of this genus are sometimes called jointweed or wireweed.
2,NorthPointe Christian Schools, NorthPointe Christian Schools are Christian schools located on the North East side of Grand Rapids Michigan. NorthPointe Christian Schools seek to provide a strong foundation for development of the Christian faith in the lives of their students. NorthPointe Christian serves over 675 students in grades three-year-old preschool through grade twelve. The elementary school curriculum builds and develops fundamental skills.
7,Calgary Municipal Building, Construction for the Calgary Municipal Building began in 1982 and was completed in October 1985. The building was designed to serve as a complement to the old Calgary City Hall facilities. The structure currently houses 2000 city employees. The building has been the centre for civic administration for the City of Calgary since 1985. The building is open to the public Monday to Friday from 08:00 to 18:00.
4,Petter Granberg, Petter Granberg (born August 27 1992) is a Swedish professional ice hockey player. He is currently playing with the Toronto Maple Leafs of the National Hockey League (NHL). Granberg was drafted 116th overall by the Toronto Maple Leafs in the 2010 NHL Entry Draft.On April 13 2014 Granberg made his NHL debut skating for the Toronto Maple Leafs during a 1-0 loss to the Ottawa Senators.
11,Bulbophyllum savaiense, Bulbophyllum savaiense is a species of orchid in the genus Bulbophyllum.
12,Channel V at the Hard Rock Live (Richard Marx album), Channel V At The Hard Rock Live is the third live album released by Richard Marx.
6,Adaridi AD 3, Adaridi AD 3 was a wooden aircraft designed by the Russian engineer Boris Adaridin who lived in Finland. It was a high wing aircraft with a low-powered engine. In 1923 the Finnish Air Force ordered one Adaridi aircraft. The aircraft was not given any official designation code. The maiden flight was on April 17 1924. The German ace Leutnant Emil Thuy (32 victories in World War I) described the aircraft as having mediocre flying qualities and that the 12 hp engine was inadequate.
2,Séminaire Sainte-Marie, Séminaire Sainte-Marie is a French-speaking and Catholic private school based in Shawinigan Quebec.
7,Vinton School, Vinton School was built as a fourteen-room elementary school in 1908 at 2120 Deer Park Boulevard in the Deer Park neighborhood of Omaha Nebraska. Designed by Omaha architect Frederick W. Clarke Vinton School is the earliest and most elaborate example of a Tudor Revival-style school in Omaha. Designated an Omaha Landmark in June 1990 the building was listed on the National Register of Historic Places in November 1989.
12,The Haunted Man (album), The Haunted Man is the third studio album by English recording artist Bat for Lashes. It was released on 11 October 2012 by Parlophone. The album was preceded by the lead single Laura which was released on 24 July 2012.
14,Conan the Destroyer (novel), Conan the Destroyer is a fantasy novel written by Robert Jordan featuring Robert E. Howard's seminal sword and sorcery hero Conan the Barbarian a novelization of the feature film of the same name. It was first published in paperback by Tor Books in 1984.
5,Anant Kumar Hegde, Anant Kumar Hegde (born 20 May 1968) is an Indian politician and a member of the Bharatiya Janata Party (BJP) political party. He was born in Sirsi Kanara. He was elected to the 11th Lok Sabha in 1996 from Kanara constituency (renamed Uttara Kannada in 2008) in Karnataka and re-elected to the Lok Sabha in 1998 2004 and 2009 from the same constituency.
5,Warren Rutherford, Warren Rutherford is a former American municipal administrator and current business owner who currently resides in Barnstable Massachusetts.
1,ServerCentral, ServerCentral is an IT hosting provider of colocation cloud IaaS IP connectivity and managed services in data centers in North America Europe and Asia. Some of the company’s clients include CDW and Discovery Media. In 2012 ServerCentral was named one of the fastest-growing private companies in the United States by Inc. Magazine for the third consecutive year.
14,American Sociological Review, The American Sociological Review is a bimonthly peer-reviewed academic journal covering all aspects of sociology. It is published by Sage Publications on behalf of the American Sociological Association. It was established in 1936. The current editors-in-chief are Tony Brown Katharine Donato Larry Isaac and Holly McCammon (Vanderbilt University).
9,Khorramabad Rafsanjan, Khorramabad (Persian: خرم اباد‎ also Romanized as Khorramābād and Khurramābād) is a village in Razmavaran Rural District in the Central District of Rafsanjan County Kerman Province Iran. At the 2006 census its population was 37 in 7 families.
8,Krabach, Krabach is a river of North Rhine-Westphalia Germany.
10,Xylophanes norfolki, Xylophanes norfolki is a moth of the Sphingidae family. It is known from the Galapagos Islands.It is similar to Xylophanes tersa and related species but the pattern and form of the forewing upperside is different. The underside of the abdomen is purplish-brown while the forewing upperside has a dark brown ground colour and the forewing and hindwing underside ground colour is dark orange.
7,Pine Slash, Pine Slash also known as Prospect Hill is a historic home located at Studley Hanover County Virginia. The main house was built about 1750 and is a one-story dwelling of colonial vertical plank construction with a metal gable roof. In addition to the main house the property includes a contributing second residence and a brick outbuilding both dating from the early 19th century.
11,Sphagnum magellanicum, Sphagnum magellanicum is a widespread species of moss found in wet places throughout boreal forests of North America South America and Eurasia. It has a distinctive reddish-purple color which usually makes it easy to recognize.
3,Han Kang, Han Kang (Hangul: 한강; born November 27 1970) is a South Korean writer.
9,Khan Jan Khani, Khan Jan Khani (Persian: خانجان خاني‎ also Romanized as Khān Jān Khānī) is a village in Dehpir-e Shomali Rural District in the Central District of Khorramabad County Lorestan Province Iran. At the 2006 census its population was 512 in 105 families.
14,Uhura's Song, Uhura's Song is a Star Trek: The Original Series novel written by Janet Kagan and published in 1985. Kagan was asked to produce an outline by editor David G. Hartwell after he read the manuscript of her novel Hellspark. She was unfamiliar with Star Trek and needed to research the series whilst writing the Uhura's Song. She subsequently wrote two sequels but they went unpublished as they featured original characters introduced in Uhura's Song.
12,Dionysos (album), Dionysos is the second album by the Polish symphonic black metal band Lux Occulta (Latin for Hidden Light). The 2002 re-release of the album by Metal Mind includes the band's demo The Forgotten Arts which can also be found on the band's Maior Arcana compilation in its entirety as bonus material. Unlike the version on Maior Arcana the version appended to this album retains the same running order as on the original release.
12,Hillbilly Hit Parade, Hillbilly Hit Parade is an album by American country music artist George Jones with various other country music artists. It was released in 1958 on the Starday Records label.
4,Alan Veingrad, Alan Stuart Veingrad now known as Shlomo Veingrad (born July 24 1963) is a former American football offensive lineman in the National Football League. Veingrad played for the Green Bay Packers for five seasons and two seasons for the Dallas Cowboys (who won Super Bowl XXVII) playing in a total of 86 games.
14,Human Rights between the Sexes, In October 2013 the Heinrich Böll Foundation published an analysis of the human rights of intersex people in 12 countries written by Dr. Dan Christian Ghattas of IVIM (OII-Germany). The countries studied were Australia Belgium France Germany New Zealand Serbia South Africa Taiwan Turkey Uganda Ukraine and Uruguay.
6,MS Stena Alegra, MS Stena Alegra is a RO-RO ferry owned by Stena RORO and operated by Stena Line she is currently temporarily operating on the Wellington to Picton route between the North and the South Islands of New Zealand.
14,The Worst Band in the Universe, The Worst Band In The Universe is a science fiction children's book written and illustrated by Graeme Base published in 1999 by Harry N. Abrams Inc.. The book comes with a CD containing music based on a music competition that occurs in the middle of the story.
3,Bowvayne, Bowvayne is a British children's writer and musician currently living in New York. In 2008 he completed his first album Molten.
4,John Abthorpe, John Abthorpe (born 19 January 1933 in Nottingham) is an English former professional footballer who played in the Football League as a forward.
2,Yuma Catholic High School, Yuma Catholic High School (YCHS) in Yuma Arizona is a private Catholic high school that provides a college preparatory education. It is located in the Roman Catholic Diocese of Tucson.
7,Shaw House (Fairmont West Virginia), Shaw House is a historic home and national historic district located at Fairmont Marion County West Virginia. The district includes two contributing buildings and two contributing structures. The main house was built in 1919 and is a 2 1/2 story dwelling in the Tudor Revival style. It features brick and stucco wall cladding punctuatedwith simulated half-timbering and tall chimney stacks. Also on the property are a contributing garage well house and entrance pavilion.
2,Bret Harte Union High School District, Bret Harte Union High School District is a public school district based in Calaveras County California United States
14,Flirt (novella), Flirt is a 2010 New York Times bestselling erotic thriller by novelist Laurell K. Hamilton. The novella was published on February 2 2010 by Berkley Hardcover and is the eighteenth book in the Anita Blake: Vampire Hunter series. The afterword of Flirt contains several pages of discussion about Hamilton's inspiration for the novella as well as a comic by Jennie Breeden.
14,Nip the Buds Shoot the Kids, Nip the Buds Shoot the Kids (also known as Pluck the Bud and Destroy the Offspring) is a 1958 novel by Japanese author Kenzaburō Ōe. It is Ōe's first novel written when he was 23 years old.It was originally published in 1958. The English version was translated in 1995.
3,Stephen Billington, Stephen Billington (born 10 December 1969) is a British actor best known for playing Greg Kelly in Coronation Street (for which he won the 1999 British Soap Award for Villain of the Year). He has worked with many leading film directors including Peter Greenaway Franco Zeffirelli and Mel Gibson. He trained at Drama Centre London where he has since taught and also teaches at the London School of Dramatic Art (LSDA) the Method Studio London and the City Literary Institute.
14,Around the Moon, Around the Moon (French: Autour de la Lune 1870) Jules Verne's sequel to From the Earth to the Moon is a science fiction novel continuing the trip to the moon which left the reader in suspense after the previous novel. It was later combined with From the Earth to the Moon to create A Trip to the Moon and Around It.
3,Jason Reed, Jason JR Reed (also known by the name of his signature character Lee) is an American actor and musician originally from Corvallis Oregon. He grew up in Las Vegas NV where he graduated from Bonanza High School. He is best known for his association with the comedy rock band Tenacious D.
8,Murphy Lake (Lake County Minnesota), Murphy Lake is a reservoir in Lake County Minnesota United States. Murphy Lake lies at an elevation of 1565 feet (477 m).
4,Line Jensen (footballer), Line Sigvardsen Jensen (born 23 August 1991) is a Danish football defender. She plays for Fortuna Hjørring in the Elitedivisionen.
12,Love Amongst Ruin (album), Love Amongst Ruin is the self-titled debut studio album by Love Amongst Ruin. It was released on September 13 2010.
9,Skromnica, Skromnica [skrɔmˈnit͡sa] is a village in the administrative district of Gmina Ozorków within Zgierz County Łódź Voivodeship in central Poland. It lies approximately 9 kilometres (6 mi) north-west of Ozorków 25 km (16 mi) north-west of Zgierz and 33 km (21 mi) north-west of the regional capital Łódź.The village has a population of 150.
10,Siosta, Siosta is a genus of moth in the family Geometridae.
14,The Last Leaf, The Last Leaf is a short story by O. Henry published in 1907 in his collection The Trimmed Lamp and Other Stories. Set in Greenwich Village it depicts characters and themes typical of O. Henry's works.
6,International 3800, The International 3800 is a Type C (conventional) bus chassis that was manufactured by Navistar International for school bus and commercial bus applications. It was produced from 1989 until 2004.
10,Emarginula nordica, Emarginula nordica common name the northern emarginula is a species of sea snail a marine gastropod mollusk in the family Fissurellidae the keyhole limpets.
4,Daniel Albrecht, Daniel Albrecht (born 25 May 1983) is a World Cup alpine ski racer from Switzerland. He was a world champion in super combined in 2007 but was severely injured in a training run in 2009.
8,Alngey, Alngey (Russian: Алнгей) is a stratovolcano in central Kamchatka. The volcano is located to the east of the shield volcano Tekletunup and to the west of the crest of the northern Sredinny Range.
14,QSaltLake, QSaltLake is a lesbian gay bisexual and transgender (LGBT) news and entertainment magazine published monthly by Gay Salt Lake Inc. in Salt Lake City. The magazine is the feature publication for the corporation. Related publications web sites and a nonprofit organization are among the corporate projects.The magazine includes local national and world news an extensive opinion section arts and entertainment a bar guide and classifieds.
7,William and Catherine Davern Farm House, The William and Catherine Davern Farm House is an Italianate farmhouse built in 1862 in Saint Paul Minnesota United States; it is one of a small number of surviving farmhouses in Saint Paul. William Davern was a member of the first territorial legislature. The house is listed on the National Register of Historic Places.
1,McGuireWoods, McGuireWoods LLP is a major U.S. law firm with more than 900 attorneys in 19 offices in the United States and Europe. With the firm's largest offices in Richmond VA Charlotte NC and Chicago IL McGuireWoods has recently experienced a period of rapid growth by opening new offices in London in 2009 and offices in Houston and Austin TX in 2011.
14,Pedagogy of the Oppressed, Pedagogy of the Oppressed (Portuguese: Pedagogia do Oprimido) written by educator Paulo Freire proposes a pedagogy with a new relationship between teacher student and society. It was first published in Portuguese in 1968 and was translated by Myra Ramos into English and published in 1970.
7,Decker Towers, Decker Towers is an eleven-floor apartment building located at 230 St. Paul Street in Burlington Vermont. At 124 feet (38 m) tall it is the tallest building in the U.S. state of Vermont and the shortest of any state's tallest building. It is located in the smallest of any state's biggest city (Burlington Vermont). Decker Towers was built as a turnkey project. After it was built by Pizzagalli Construction Company in 1971 it was purchased by the city of Burlington.
2,Georges River Grammar School, Georges River Grammar (GRG) is an independent co-educational day school located in Georges Hall a suburb of South-Western Sydney New South Wales Australia.Established in 1986 the school has a non-selective enrolment policy and currently caters for approximately 900 students from Kindergarten to 12.Georges River Grammar is a member of the Association of Heads of Independent Schools of Australia (AHISA) the New Anglican Schools Sports Association (NASSA) and the Association of Independent Co-Educational Schools (AICES).
5,Riyad Farid Hijab, Riyad Farid Hijab (Arabic: الدكتور رياض فريد حجاب‎) born 1966) is a Syrian politician. He was Prime Minister of Syria from June to August 2012 serving under President Bashar al-Assad. From 2011 to 2012 he was Minister of Agriculture. On 6 August 2012 the Syrian government released a statement saying that Hijab had been dismissed.
14,Journal of Cross-Cultural Psychology, Journal of Cross-Cultural Psychology is a peer-reviewed academic journal that publishes papers in the field of Psychology. The journal's editor is David R. Matsumoto (San Francisco State University). It has been in publication since 1970 and is currently published by SAGE Publications.
10,Horolodectes sunae, Horolodectes sunae is a long-extinct eutherian mammal species of uncertain taxonomic position recently discovered in Paleocene formations in northern Alberta Canada. Its name means hourglass biter in Greek because of the shape of its teeth.
2,Lake Local School District (Wood County), Lake Local School District is a public school district in Northwest Ohio. The school district primarily serves students who live in Lake Township and the villages of Millbury and Walbridge in Wood County. It also includes small portions of Perrysburg Troy and Allen townships and a small portion of the city of Northwood. The superintendent is Jim Witt.
2,Institute of Physics Bhubaneswar, This article is about a research institution in India. For other uses see Institute of Physics (disambiguation)Institute of Physics Bhubaneswar is an autonomous research institution of the Department of Atomic Energy (DAE) Government of India. The Institute is entirely the brainchild of legendary and visionary academic and administrator Late Professor Bidhu Bhusan Das who was Director of Public Instruction Odisha at that time. Prof.
11,Monardella crispa, Monardella crispa is a rare species of flowering plant in the mint family known by the common name crisp monardella. It is endemic to California where it is known only from the sand dunes on the coastline of San Luis Obispo and Santa Barbara Counties.
10,Chalcone (skipper), Chalcone is a genus of skippers in the family Hesperiidae.
6,USS Eaglet (SP-909), USS Eaglet (SP-909) later redesignated YP-909 was an armed motorboat that served in the United States Navy as a patrol vessel from 1917 to 1921.Eaglet was built as a civilian motorboat in either 1909 or 1911 by George Lawley & Son at Neponset Massachusetts. The U.S. Navy acquired her from her owner F.L. Budlong of Providence Rhode Island on 16 June 1917 for use as a patrol boat during World War I.
6,USS Witek (DD-848), USS Witek (DD/EDD-848) was a Gearing-class destroyer of the United States Navy named for Marine Private First Class Frank P. Witek (1921–1944) who was awarded the Medal of Honor posthumously for his heroism during the Battle of Guam.Witek was laid down on 16 July 1945 at Bath Maine by the Bath Iron Works; launched on 2 February 1946; sponsored by Mrs. Nora Witek the mother of PFC Witek; and commissioned at the Boston Naval Shipyard on 23 April 1946 Commander Nels C. Johnson in command.
10,Lyonetia euryella, Lyonetia euryella is a moth in the Lyonetiidae family. It is known from Japan (Honshu Kyushu Yakushima).The wingspan is 8–10 mm. Adults are on wing from the beginning to the middle of May from the middle of June to the beginning of July from the end of July to the beginningof August and from the beginning of September to the beginning of October. There are four generations per year.The larvae feed on Eurya japonica. They mine the leaves of their host plant.
12,Fear of Music (album), Fear of Music is the third studio album by American new wave band Talking Heads released on 3 August 1979 on Sire Records. It was recorded at locations in New York City between April and May 1979 and was produced by the quartet and Brian Eno. The album reached number 21 on the Billboard 200 in the United States and peaked at number 33 on the UK Albums Chart. Three songs were released as singles between 1979 and 1980: Life During Wartime I Zimbra and Cities.
5,Otto Strandman, Otto August Strandman VR III/1 (30 November [O.S. 18 November] 1875 – 5 February 1941) was an Estonian politician who served as Prime Minister (1919) and State Elder of Estonia (1929–1931). He was one of the leaders of the centre-left Estonian Labour Party that saw its biggest support after the 1919 and 1920 elections. Strandman was a key figure in composing the radical land reform law and the 1920 Constitution.
7,Mount Pleasant (Newton Massachusetts), Mount Pleasant is a historic estate house at 15 Bracebridge Road in Newton Massachusetts. The two story wood frame house was built c. 1856 by Roswell Turner a major land owner and real estate developer in the Newton Centre area. It is a well preserved example of the academic Italianate style with a three-bay facade and hip roof with a small gable over the centered entry and a three story turret. The property was owned for many of the later years of the 19th century by Charles S.
14,The Family Arsenal, The Family Arsenal is a novel by Paul Theroux originally published in 1976. It is a political thriller following the acts of a terrorist cell in London.
10,Mitra typha, Mitra typha is a species of sea snail a marine gastropod mollusk in the family Mitridae the miters or miter snails.
7,Saint-Laurent Paris, The Church of Saint-Laurent (French: Église Saint-Laurent) is a church in the 10th arrondissement of Paris (119 rue du Faubourg-Saint-Martin 68 boulevard de Strasbourg or 68 boulevard de Magenta). It is built on Paris's north-south axis linking Senlis and Orléans as laid out by the Romans in the course of the mid 1st century BC now marked by the rue du Faubourg-Saint-Martin rue Saint-Martin rue Saint-Jacques and rue du Faubourg-Saint-Jacques).
11,Philenoptera violacea, Philenoptera violacea know also as Apple Leaf or Rain Tree Afrikaans: Appelblaar Sotho: Mphata Tsonga: Mohata Zulu: Isihomohomo) is a plant species in the legume family (Fabaceae).
11,Hippobroma, Hippobroma is a genus of flowering plants within the family Campanulaceae.Species include: Hippobroma longiflora
10,Galeolaria hystrix, Galeolaria hystrix is a serpulid worm of the family Serpulidae endemic to southern Australia and New Zealand.
3,Norman Hassan, Norman Lamont Hassan (Arabic: نورمان حسن‎; born 26 January 1958) is an English musician of Yemeni and Welsh descent who is best known as being a member of the reggae band UB40 since its foundation in 1978.
11,Verbenaceae, Verbenaceae /vɜrbiːˈneɪsiː/ commonly known as the verbena family or vervain family is a family of mainly tropical flowering plants. It contains trees shrubs and herbs notable for heads spikes or clusters of small flowers many of which have an aromatic smell.Recent phylogenetic studies have shown that numerous genera traditionally classified in Verbenaceae belong instead in Lamiaceae. The new narrowly circumscribed Verbenaceae family includes some 35 genera and 1200 species.
9,Hoseynabad-e Kalali, Hoseynabad-e Kalali (Persian: حسين ابادكلالي‎ also Romanized as Ḩoseynābād-e Kalālī) is a village in Gol Banu Rural District Pain Jam District Torbat-e Jam County Razavi Khorasan Province Iran. At the 2006 census its population was 460 in 102 families.
14,Blind But Now I See: The Biography of Music Legend Doc Watson, Blind But Now I See: The Biography of Music Legend Doc Watson is an award-winning book written by Kent Gustavson Ph.D. The book serves as a comprehensive biography of the late guitarist and singer-songwriter Doc Watson (1923-2012).
13,Widecombe Fair (film), Widecombe Fair is a 1928 British silent comedy drama film directed by Norman Walker and starring William Freshman Marguerite Allan Moore Marriott and Judd Green. A farmer is able to save his farm when he digs up buried treasure. The film's plot was adapted from a novel by Eden Philpotts loosely based on the popular folk song Widecombe Fair.
4,Bruce Kessler, Bruce Kessler (born March 23 1936) is an American racing driver and film and television director.He entered one World Championship Formula One Grand Prix (Monaco 1958) with a Connaught owned by Bernie Ecclestone but failed to qualify although he posted the 21st fastest time of the 28 entrants.Kessler born in Seattle Washington and grew up in Beverly Hills California. He was the son of a clothing designer.
13,Naan Rajavaga Pogiren, Naan Rajavaga Pogiren (English:I am going to become Raja) is a 2013 Tamil action film co-written and directed by Prithvi Rajkumar Assistant of Vetrimaaran and writer of Sathyaraj starrer Lootty and 6.2. The film features Nakul Chandni and newcomer Avani Modi in the lead roles.The film opened average reviews and average grosser at the box office.
10,Marginellidae, Marginellidae or the margin shells are a taxonomic family of small often colorful sea snails marine gastropod molluscs in the clade Neogastropoda.
5,David Namwandi, David Namwandi (born February 24 1954) is a Namibian politician and academic currently serving as Minister of Education.
7,Pine Street School, Pine Street School is a historic former school building located at 880 Pine Street in Fall River Massachusetts. The wood-framed school was built in 1876 in the Italianate style. It was added to the National Register of Historic Places in 1983. At that time it was the oldest school building in the city still in use. It was converted into apartments in the late 1980s.
13,Officers of French Army Leaving Service, Officers of French Army Leaving Service (French: Départ des Officiers) was an 1896 French silent actuality film directed by Georges Méliès. It was released by Méliès's company Star Film and is numbered 68 in its catalogues. The film is currently presumed lost.
8,Lago di Chiusi, Lago di Chiusi is a lake in the Province of Siena Tuscany Italy. At an elevation of 251 m its surface area is 3.87 km².
2,Newlands College, Newlands College is a state coeducational secondary school located in the Wellington New Zealand suburb of Newlands. Opened in February 1970 the school has a roll of 963 students as of March 2014.The current principal is Grant Jones. The current deputy principals are Deb Mills David Pegram and James Rasmussen. John Murdoch former deputy principal is now the current principal of Taitā College. The school colours are white red and blue.
7,Fountain of Calvo, The Fountain of Calvo (Portuguese: Fonte do Calvo) is a public/communal fountain and lavoir in the civil parish of Almalaguês municipality of Coimbra that has existed for over than 100 years and integral to the history and culture of the community.The inhabitants of Almalaguês have systematically restored the fountain and lavoir historically owing to its reputation for water quality.
7,St Luke's Church Queen's Park Brighton, St Luke's Church is an Anglican church in the Queen's Park area of Brighton part of the English city of Brighton and Hove. Occupying a large corner site on Queen's Park Road it was designed in the 1880s by Sir Arthur Blomfield in the Early English style and has been given listed building status because of its architectural importance.
5,Tom Tiffany, Thomas P. Tom Tiffany (born December 30 1957) is an American politician who has been elected to serve as member of the Wisconsin State Assembly representing the 35th District from 2011.
5,Paula Teixeira da Cruz, Paula Maria von Hafe Teixeira da Cruz (Luanda Portuguese Angola June 1 1960) is a Portuguese lawyer and politician. She has served since June 21 2011 as Minister of Justice in the government led by Pedro Passos Coelho.
4,George Clifford (footballer), George Clifford (born 10 February 1896 date of death unknown) was a footballer who played in the Football League for Mansfield Town Portsmouth. He was born in Harrogate England.
1,Team Bondi, Team Bondi (/ˈbɒndaɪ/ BON-dy) was an Australian independent third-party game developer. The company was responsible for the development of the Windows PlayStation 3 and Xbox 360 game L.A. Noire which was published by Rockstar Games. An in-game trailer was released on 11 November 2010 which subsequently confirmed the release date as 17 May 2011. L.A.
6,HMS Sirius (1786), HMS Sirius was the flagship of the First Fleet which set out from Portsmouth England in 1787 to establish the first European colony in New South Wales Australia. Sirius was wrecked off the coast of Norfolk Island in the Pacific Ocean in 1790.
3,Liz Rosenberg, Liz Rosenberg (born Lizbeth Meg Rosenberg February 3 1955) is an American poet novelist children's book author and book reviewer. She is currently a professor of English at Binghamton University and in previous years has taught at Colgate University Sarah Lawrence College Hamilton College Bennington College and Hollins College. Her children's book reviews appear monthly in The Boston Globe.
8,River Till Wiltshire, The River Till is a river that rises near Tilshead on Salisbury Plain and which flows south and south-east to join the River Wylye near Stapleford. It also flows through Shrewton and Winterbourne Stoke. It has been designated as a SSSI site.The name ‘River Till’ is a double misnomer firstly because this is not a river but a winterborne – i.e. a winter stream that only flows for approximately three months in a year. Secondly because the name ‘Till’ is a Victorian misunderstanding.
5,Edward Borron, Edward Barnes Borron (December 6 1820 – April 23 1915) was a Canadian politician. He represented the electoral district of Algoma in the Canadian House of Commons from 1874 to 1878. He was a member of the Liberal Party.The son of John Arthur Borron and Mary Geddes he was educated at Lancashire Newcastle upon Tyne and the University of Edinburgh before entering work in his father's mines in Lanarkshire. In 1842 he became general manager.
9,Qamesh Aghol, Qamesh Aghol (Persian: قميش اغل‎ also Romanized as Qamesh Āghol; also known as Aḩdāqeh Ajaga Ājdāgheh Azhdaga Qamesh Āghel Qamīsh Āghol and Qeshlāq Qamīsh Āghūl) is a village in Zolbin Rural District Yamchi District Marand County East Azerbaijan Province Iran. At the 2006 census its population was 833 in 200 families.
6,USS Flicker (AM-70), The first USS Flicker (AM-70) was a minesweeper in the United States Navy during World War II named after the Flicker a medium-sized member of the woodpecker family common to North America.Laid down on 27 October 1936 as the steel-hulled fishing trawler M/V Delaware by the Bath Iron Works Bath Maine for the Booth Fisheries Co.
12,Side Trips Volume One, Side Trips Volume One is a jazz-rock fusion album by Howard Wales and Jerry Garcia. It was recorded live at the Matrix in San Francisco in 1970 and released in 1998.
9,Lenawala, Lenawala is a village in Sri Lanka. It is located within Central Province.
3,Medard Gabel, Medard Gabel is a noted author and speaker who co-founded World Game Institute with Buckminster Fuller. Medard also founded BigPictureSmallWorld Inc..In conjunction with Global Education Motivators Medard created the Design Science Lab which is a workshop for developing strategies to address the United Nations Millennium Development Goals. The results of the Lab have been published in Designing a World That Works for All.
8,Eungbongsan (Yeongwol), Eungbongsan is a mountain in the county of Yeongwol Gangwon-do in South Korea. It has an elevation of 1013 m (3323 ft).
2,Coconut Creek High School, Coconut Creek High School is a secondary school located in Coconut Creek Florida which teaches grades 9-12. The school is a part of the Broward County School District. It opened in 1970 and subsequently became notable in music and Baseball.
9,Ziyarat Boneh, Ziyarat Boneh (Persian: زيارت بنه‎ also Romanized as Zīyārat Boneh; also known as Zenāghī (Persian: زناغي)) is a village in Gavkan Rural District in the Central District of Rigan County Kerman Province Iran. At the 2006 census its population was 24 in 4 families.
6,Honda MVX250F, The Honda MVX250F motorcycle was developed by Honda. It was powered by a two-stroke V3 engine. New Zealand was among the few countries in the world outside Japan where the MVX 250 was sold new through Honda motorcycle dealerships. In 1984 the MVX 250 was sold new for $3299 New Zealand dollars. Initially many bikes suffered engine failures often within the warranty period.
10,Graphium gudenusi, Graphium gudenusi is a butterfly in the Papilionidae family. It is found in the Democratic Republic of Congo Rwanda Burundi and Uganda. The habitat consists of forests.
14,Koizora, Koizora: Setsunai Koi Monogatari (恋空―切ナイ恋物語 Koizora: Setsunai Koi Monogatari lit. Sky of Love: A Sad Love Story) or Koizora (恋空) for short is a 2005 best-selling Japanese coming of age and romance novel written by Mika.
6,Toyota bB, The Toyota bB is a small wagon produced by the Toyota Motor Corporation.
3,Angela Moldovan, Angela Moldovan (19 September 1927 – 13 October 2013) was a Romanian singer of popular music and to a lesser public knowledge an accomplished opera singer but also an actress mostly known for her roles in the musical Veronica and its sequel Veronica se întoarce.
5,Joseph Whipple Jr., Joseph Whipple Jr. (30 December 1687 - 1750) was a wealthy merchant in the Colony of Rhode Island and Providence Plantations and a Deputy Governor of the colony.The son of Colonel Joseph Whipple who was also a merchant Whipple was born in Providence the third of 12 children. He was a ship-owner dealing in many goods including slaves and he often traded illicitly with the Spanish and French who were at war with the British.
14,Mud Life Magazine, Mud Life Magazine is an American automotive enthusiast magazine. Mud Life covers mud trucks ATVs UTVs and Swamp Buggies. It was established in 2008 and is owned by Source Interlink Media which purchased it from Extreme Media Group in 2011. The magazine has been based in Florida since its inception; it was originally headquartered in Davie Florida. Its editor-in-chief is Kevin McNulty.
9,Shankar Nagar, Shankar Nagar is a village development committee in Rupandehi District in the Lumbini Zone of southern Nepal. At the time of the 1991 Nepal census it had a population of 9466 people living in 1694 individual households.
2,Anna University Chennai – Regional Office Tiruchirappalli, Anna University Chennai – Regional OfficeBIT CAMPUS Tiruchirappalli (AUC-ROT) BIT Campus Erstwhile Anna University of Technology Tiruchirappalli is a university department of Anna University located at Tiruchirappalli Tamil Nadu India.
5,David L. Sleeper, David Lawrence Sleeper was a Republican politician in the U. S. State of Ohio who was Speaker of the Ohio House of Representatives 1896-1898.
1,Katzenbach Partners, Katzenbach Partners was a small American management consulting firm. In 2009 it became a part of the global management consulting firm Booz & Company.Katzenbach Partners was founded in 1998 by former McKinsey & Company consultants Marc A. Feigen and Jon Katzenbach.
11,Origanum × pulchellum, Origanum × pulchellum (showy marjoram showy oregano) is an ornamental plant of hybrid origin.
11,Ulmus × hollandica 'Fjerrestad', Ulmus × hollandica 'Fjerrestad' is one of a number of cultivars arising from the crossing of the Wych Elm U. glabra with a variety of Field Elm U. minor. First mentioned in Meded. Comite. Best. Iepenz. 13: 9 1933 but without description.
9,Badeh Khorramabad, Badeh (Persian: باده‎ also Romanized as Bādeh; also known as Bādeh-ye Ābestān and Bādeh-e Bostān) is a village in Zagheh Rural District Zagheh District Khorramabad County Lorestan Province Iran. At the 2006 census its population was 557 in 113 families.
2,School for Ethics and Global Leadership, Located in Washington DC The School for Ethics and Global Leadership (SEGL) is a selective semester-long residential program for intellectually motivated high school juniors from across the United States. The program selects students who have shown outstanding character promise for leadership and scholastic ability and provides them with a unique curriculum that emphasizes ethical thinking leadership development and international affairs.
11,Melicope tahitensis, Melicope tahitensis is a species of plant in the Rutaceae family. It is endemic to French Polynesia.
